year,weight_class,round,winner,winner_school,win_method,score,loser,loser_school
2026,124,Cons. Round 3,Lola Barkby,Indiana Tech,fall,Fall 4:11,Jazmine Turner,Dickinson State
2026,124,Cons. Round 3,Maya Davis,Grand View,fall,Fall 5:34,Jasmina Immaeva,Missouri Valley
2026,124,Quarterfinal,Cristelle Rodriguez,Doane,tech fall,TF 10-0,Kaitlin Castro,Cumberlands
2026,124,Quarterfinal,Vicky Baez-Dilone,William Penn,tech fall,TF 10-0,Anna Krejsa,Life
2026,124,Quarterfinal,Kamilah Brooks,Lindsey Wilson,decision,Dec 6-6,Alyssa Randles,Providence
2026,124,Quarterfinal,Rose Kaplan,Indiana Tech,fall,Fall 2:51,Tati Paragas,William Penn
2026,124,Cons. Round 2,Addison Messerly,Campbellsville,tech fall,TF 10-0,Berlin Kiddoo,Central Methodist
2026,124,Cons. Round 2,Catherine Campbell,Grand View,tech fall,TF 10-0,Tess Barnett,Wayland Baptist
2026,124,Cons. Round 2,Kaylee Annis,Southern Oregon,decision,Dec 8-4,Ellabelle Taylor,Evergreen State
2026,124,Cons. Round 2,Jazmine Turner,Dickinson State,fall,Fall 5:18,Isla Baeza,Missouri Valley
2026,124,Cons. Round 2,Lola Barkby,Indiana Tech,decision,Dec 8-2,Jes`Onia Barefield,Georgetown
2026,124,Cons. Round 2,Maya Davis,Grand View,fall,Fall 2:08,Daniela Espinal,Montreat
2026,124,Cons. Round 2,Jasmina Immaeva,Missouri Valley,fall,Fall 5:06,Myia Weiler,Southern Oregon
2026,124,Champ. Round 2,Cristelle Rodriguez,Doane,tech fall,TF 10-0,Myia Weiler,Southern Oregon
2026,124,Champ. Round 2,Kaitlin Castro,Cumberlands,fall,Fall 1:34,Maya Davis,Grand View
2026,124,Champ. Round 2,Anna Krejsa,Life,tech fall,TF 10-0,Lola Barkby,Indiana Tech
2026,124,Champ. Round 2,Vicky Baez-Dilone,William Penn,tech fall,TF 10-0,Isla Baeza,Missouri Valley
2026,124,Champ. Round 2,Kamilah Brooks,Lindsey Wilson,decision,Dec 8-4,Kaylee Annis,Southern Oregon
2026,124,Champ. Round 2,Alyssa Randles,Providence,decision,Dec 3-2,Catherine Campbell,Grand View
2026,124,Champ. Round 2,Tati Paragas,William Penn,decision,Dec 10-7,Berlin Kiddoo,Central Methodist
2026,124,Champ. Round 2,Rose Kaplan,Indiana Tech,fall,Fall 0:57,Rei Ogden,Bismarck State
2026,124,Champ. Round 1,Maya Davis,Grand View,decision,Dec 5-4,Addison Messerly,Campbellsville
2026,124,Champ. Round 1,Anna Krejsa,Life,tech fall,TF 14-4,Tess Barnett,Wayland Baptist
2026,124,Champ. Round 1,Vicky Baez-Dilone,William Penn,tech fall,TF 18-8,Ellabelle Taylor,Evergreen State
2026,124,Champ. Round 1,Kamilah Brooks,Lindsey Wilson,decision,Dec 9-2,Jazmine Turner,Dickinson State
2026,124,Champ. Round 1,Catherine Campbell,Grand View,fall,Fall 2:18,Jes`Onia Barefield,Georgetown
2026,124,Champ. Round 1,Berlin Kiddoo,Central Methodist,tech fall,TF 13-2,Daniela Espinal,Montreat
2026,124,Champ. Round 1,Rose Kaplan,Indiana Tech,fall,Fall 2:54,Jasmina Immaeva,Missouri Valley
2026,131,1st Place Match,Jumoke Adekoye,Dickinson State,tech fall,TF 10-0,Olivia Mottley,Life
2026,131,3rd Place Match,Waipuilani Estrella-Beauchamp,Providence,fall,Fall 0:33,Sarah Savidge,Life
2026,131,5th Place Match,Kendall Bostelman,William Penn,tech fall,TF 11-0,Jeila Ramos,Lindsey Wilson
2026,131,7th Place Match,Alexis Schneider,Bismarck State,tech fall,TF 14-4,Larissa Kaz,Hastings
2026,131,Cons. Semi,Waipuilani Estrella-Beauchamp,Providence,tech fall,TF 11-0,Jeila Ramos,Lindsey Wilson
2026,131,Cons. Semi,Sarah Savidge,Life,decision,Dec 8-0,Kendall Bostelman,William Penn
2026,131,Cons. Round 5,Jeila Ramos,Lindsey Wilson,tech fall,TF 13-2,Larissa Kaz,Hastings
2026,131,Cons. Round 5,Kendall Bostelman,William Penn,decision,Dec 9-6,Alexis Schneider,Bismarck State
2026,131,Semifinal,Olivia Mottley,Life,decision,Dec 7-2,Sarah Savidge,Life
2026,131,Semifinal,Jumoke Adekoye,Dickinson State,decision,Dec 6-3,Waipuilani Estrella-Beauchamp,Providence
2026,131,Cons. Round 4,Larissa Kaz,Hastings,decision,Dec 9-4,Elizabeth Duvall,Texas Wesleyan
2026,131,Cons. Round 4,Jeila Ramos,Lindsey Wilson,fall,Fall 5:29,Mary Jane Porter,Cumberlands
2026,131,Cons. Round 4,Kendall Bostelman,William Penn,tech fall,TF 10-0,Bronwyn Brenneman,William Penn
2026,131,Cons. Round 4,Alexis Schneider,Bismarck State,fall,Fall 4:15,Olivia Messerly,Campbellsville
2026,131,Cons. Round 3,Elizabeth Duvall,Texas Wesleyan,fall,Fall 0:29,Andrea Hernandez,Indiana Tech
2026,131,Cons. Round 3,Mary Jane Porter,Cumberlands,tech fall,TF 13-2,Jill High,York
2026,131,Cons. Round 3,Bronwyn Brenneman,William Penn,decision,Dec 6-0,Madison Pena,Wayland Baptist
2026,131,Cons. Round 3,Olivia Messerly,Campbellsville,decision,Dec 10-6,Jade Morales,Southern Oregon
2026,131,Quarterfinal,Sarah Savidge,Life,decision,Dec 6-2,Jeila Ramos,Lindsey Wilson
2026,131,Quarterfinal,Olivia Mottley,Life,tech fall,TF 15-4,Larissa Kaz,Hastings
2026,131,Quarterfinal,Jumoke Adekoye,Dickinson State,tech fall,TF 10-0,Alexis Schneider,Bismarck State
2026,131,Quarterfinal,Waipuilani Estrella-Beauchamp,Providence,fall,Fall 4:09,Kendall Bostelman,William Penn
2026,131,Cons. Round 2,Elizabeth Duvall,Texas Wesleyan,decision,Dec 8-3,Ashlee Palimo`o,Doane
2026,131,Cons. Round 2,Jill High,York,fall,Fall 1:36,Lexie Garza,Eastern Oregon
2026,131,Cons. Round 2,Bronwyn Brenneman,William Penn,fall,Fall 5:50,Bryce White,Oklahoma City
2026,131,Cons. Round 2,Madison Pena,Wayland Baptist,tech fall,TF 16-5,Makenna Duran,Eastern Oregon
2026,131,Cons. Round 2,Jade Morales,Southern Oregon,decision,Dec 7-0,Aileya Sath,Baker
2026,131,Champ. Round 2,Sarah Savidge,Life,fall,Fall 1:48,Jade Morales,Southern Oregon
2026,131,Champ. Round 2,Jeila Ramos,Lindsey Wilson,fall,Fall 1:13,Olivia Messerly,Campbellsville
2026,131,Champ. Round 2,Larissa Kaz,Hastings,tech fall,TF 12-2,Makenna Duran,Eastern Oregon
2026,131,Champ. Round 2,Olivia Mottley,Life,decision,Dec 8-0,Bronwyn Brenneman,William Penn
2026,131,Champ. Round 2,Jumoke Adekoye,Dickinson State,tech fall,TF 10-0,Lexie Garza,Eastern Oregon
2026,131,Champ. Round 2,Alexis Schneider,Bismarck State,decision,Dec 9-2,Mary Jane Porter,Cumberlands
2026,131,Champ. Round 2,Kendall Bostelman,William Penn,tech fall,TF 11-0,Andrea Hernandez,Indiana Tech
2026,131,Champ. Round 2,Waipuilani Estrella-Beauchamp,Providence,fall,Fall 2:27,Ashlee Palimo`o,Doane
2026,131,Champ. Round 1,Sarah Savidge,Life,tech fall,TF 11-0,Elizabeth Duvall,Texas Wesleyan
2026,131,Champ. Round 1,Olivia Mottley,Life,tech fall,TF 11-0,Jill High,York
2026,131,Champ. Round 1,Jumoke Adekoye,Dickinson State,tech fall,TF 10-0,Bryce White,Oklahoma City
2026,131,Champ. Round 1,Alexis Schneider,Bismarck State,decision,Dec 9-0,Madison Pena,Wayland Baptist
2026,131,Champ. Round 1,Waipuilani Estrella-Beauchamp,Providence,tech fall,TF 10-0,Aileya Sath,Baker
2026,138,1st Place Match,Esther Kolawole,William Penn,tech fall,TF 10-0,Zaynah McBryde,Life
2026,138,3rd Place Match,Samantha Barragan,Texas Wesleyan,tech fall,TF 12-2,Maci Avila,Midland
2026,138,5th Place Match,Haley Le,Evergreen State,tech fall,TF 10-0,Aileen Lester,Ottawa
2026,138,7th Place Match,Reagen Gallaway,Hastings,decision,Dec 2-2,Skylur Lewis,Saint Mary
2026,138,Cons. Semi,Samantha Barragan,Texas Wesleyan,fall,Fall 3:00,Haley Le,Evergreen State
2026,138,Cons. Semi,Maci Avila,Midland,decision,Dec 13-6,Aileen Lester,Ottawa
2026,138,Cons. Round 5,Haley Le,Evergreen State,injury default,Inj. 4:07,Skylur Lewis,Saint Mary
2026,138,Cons. Round 5,Maci Avila,Midland,decision,Dec 11-4,Reagen Gallaway,Hastings
2026,138,Semifinal,Esther Kolawole,William Penn,tech fall,TF 10-0,Aileen Lester,Ottawa
2026,138,Semifinal,Zaynah McBryde,Life,tech fall,TF 11-0,Samantha Barragan,Texas Wesleyan
2026,138,Cons. Round 4,Skylur Lewis,Saint Mary,fall,Fall 4:48,Kinnley Smith,Indiana Tech
2026,138,Cons. Round 4,Haley Le,Evergreen State,tech fall,TF 11-0,Christina Jaen,Life
2026,138,Cons. Round 4,Reagen Gallaway,Hastings,tech fall,TF 10-0,Esther Han,Providence
2026,138,Cons. Round 4,Maci Avila,Midland,tech fall,TF 10-0,Ruth Jimenez,Cumberlands
2026,138,Cons. Round 3,Kinnley Smith,Indiana Tech,decision,Dec 11-4,Zoe Fries,Missouri Baptist
2026,138,Cons. Round 3,Haley Le,Evergreen State,fall,Fall 1:29,Serenity De La Garza,Missouri Valley
2026,138,Cons. Round 3,Esther Han,Providence,fall,Fall 5:47,Makayla Correa,Southern Oregon
2026,138,Cons. Round 3,Ruth Jimenez,Cumberlands,decision,Dec 10-4,Brielle Bibla,Lindsey Wilson
2026,138,Quarterfinal,Esther Kolawole,William Penn,tech fall,TF 10-0,Christina Jaen,Life
2026,138,Quarterfinal,Aileen Lester,Ottawa,decision,Dec 4-0,Skylur Lewis,Saint Mary
2026,138,Quarterfinal,Samantha Barragan,Texas Wesleyan,fall,Fall 2:26,Maci Avila,Midland
2026,138,Quarterfinal,Zaynah McBryde,Life,tech fall,TF 14-3,Reagen Gallaway,Hastings
2026,138,Cons. Round 2,Zoe Fries,Missouri Baptist,fall,Fall 2:43,Emily Neumann,Central Methodist
2026,138,Cons. Round 2,Kinnley Smith,Indiana Tech,decision,Dec 6-3,Lisa Hoeflich,Hastings
2026,138,Cons. Round 2,Serenity De La Garza,Missouri Valley,fall,Fall 5:10,Natalia Posada,Oklahoma City
2026,138,Cons. Round 2,Esther Han,Providence,tech fall,TF 11-1,Lexi Ritchie,Lindsey Wilson
2026,138,Cons. Round 2,Ruth Jimenez,Cumberlands,decision,Dec 6-0,Teani Medeiros-Maielua,William Woods
2026,138,Champ. Round 2,Esther Kolawole,William Penn,tech fall,TF 10-0,Teani Medeiros-Maielua,William Woods
2026,138,Champ. Round 2,Christina Jaen,Life,tech fall,TF 11-0,Brielle Bibla,Lindsey Wilson
2026,138,Champ. Round 2,Aileen Lester,Ottawa,decision,Dec 6-3,Makayla Correa,Southern Oregon
2026,138,Champ. Round 2,Skylur Lewis,Saint Mary,fall,Fall 2:25,Esther Han,Providence
2026,138,Champ. Round 2,Samantha Barragan,Texas Wesleyan,fall,Fall 4:00,Haley Le,Evergreen State
2026,138,Champ. Round 2,Maci Avila,Midland,tech fall,TF 10-0,Natalia Posada,Oklahoma City
2026,138,Champ. Round 2,Reagen Gallaway,Hastings,fall,Fall 1:26,Kinnley Smith,Indiana Tech
2026,138,Champ. Round 2,Zaynah McBryde,Life,tech fall,TF 11-0,Zoe Fries,Missouri Baptist
2026,138,Champ. Round 1,Teani Medeiros-Maielua,William Woods,tech fall,TF 10-0,Emily Neumann,Central Methodist
2026,138,Champ. Round 1,Christina Jaen,Life,fall,Fall 1:40,Lisa Hoeflich,Hastings
2026,138,Champ. Round 1,Makayla Correa,Southern Oregon,fall,Fall 4:12,Serenity De La Garza,Missouri Valley
2026,138,Champ. Round 1,Samantha Barragan,Texas Wesleyan,fall,Fall 4:25,Lexi Ritchie,Lindsey Wilson
2026,138,Champ. Round 1,Zaynah McBryde,Life,tech fall,TF 10-0,Ruth Jimenez,Cumberlands
2026,145,1st Place Match,Jamilah McBryde,Life,decision,Dec 9-6,Jordan Suarez,Wayland Baptist
2026,145,3rd Place Match,Kori Campbell,Lindsey Wilson,decision,Dec 2-1,Holland Wieber,Southern Oregon
2026,145,5th Place Match,Madison Diaz,Grand View,decision,Dec 4-0,Brooke-Lynn Rush,Missouri Valley
2026,145,7th Place Match,Hayden Newberg,Indiana Tech,tech fall,TF 16-4,Maggie Ortmann,Missouri Baptist
2026,145,Cons. Semi,Holland Wieber,Southern Oregon,fall,Fall 0:41,Madison Diaz,Grand View
2026,145,Cons. Semi,Kori Campbell,Lindsey Wilson,tech fall,TF 10-0,Brooke-Lynn Rush,Missouri Valley
