year,weight_class,round,winner,winner_school,win_method,score,loser,loser_school
2022,136,Consi of 16 #1,Alex Banag,Lyon,VFA,1:49 7-4,Julia Mata,Missouri Valley (W)
2022,136,Consi of 16 #1,Krystal Fabricante,Eastern Oregon (W),VFA,1:04 7-0,Rebekah Koolstra,University of St. Mary's (W)
2022,130,Consi of 16 #1,Araya Boday,University of St. Mary's (W),VPO1,12-4,Gabbie Parini,Providence (W)
2022,143,Round of 16,Emma Walker,Campbellsville (W),VFA,0:23 4-0,Derriane Morrison,Ottawa (W)
2022,136,Round of 16,Ellyana Kuzma,Indiana Tech (W),VFA,1:58 11-0,Ashlee Palimoo,Midland (W)
2022,136,Consi of 16 #1,Adriana Orozco,Oklahoma City (W),VSU,10-0 0:55,Alexis Lopez,Grand View (W)
2022,136,Round of 16,Jordan Suarez,Wayland Baptist (W),VSU,10-0 2:33,Allyssa Pirro,Indiana Tech (W)
2022,130,Consi of 16 #1,Cindy Zepeda,Menlo,VPO1,4-2,Joanna Vanderwood,Iowa Wesleyan University (W)
2022,136,Consi of 16 #1,Autumn Barela,Central Methodist (W),VFA,2:25 8-0,Samantha Kuillan,Ottawa (W)
2022,136,Consi of 16 #1,Lindsay Mills,Missouri Baptist (W),VSU,10-0 3:00,Jessica Miller,Avila University (W)
2022,136,Round of 16,Diana Dzasezeva,Waldorf (W),VPO1,4-2,Emily Se,Southern Oregon (W)
2022,130,Consi of 16 #1,Olivia Branson,Baker (W),VFA,5:55 10-7,Rebekah Garcia,Lyon
2022,136,Round of 16,Paige Respicio,Providence (W),VFA,0:09 4-0,Kamryn Ellis,Brewton Parker (W)
2022,130,Round of 16,Lexie Basham,Texas Wesleyan (W),VPO1,12-4,Emily Paulino,Midland (W)
2022,130,Consi of 16 #1,Willow Barnes,Missouri Valley (W),VFA,2:08 2-10,Avery Thomason,Midland (W)
2022,136,Round of 16,Adaugo Nwachukwu,Iowa Wesleyan University (W),VFA,1:18 10-0,Savannah Turner,Hastings (W)
2022,130,Round of 16,Allie Baudhuin,Jamestown (W),VSU,10-0 1:34,Katlyn Pizzo,Campbellsville (W)
2022,130,Consi of 16 #1,Jori Richardson,Brewton Parker (W),VSU,10-0 3:11,Lydia Nelson,William Penn (W)
2022,130,Consi of 16 #1,Desinee Lopez,Southern Oregon (W),VSU1,12-1 4:10,Cassidy Anderson,Central Christian (W)
2022,130,Round of 16,Kaylee Moore,Eastern Oregon (W),VSU,11-0 2:08,Julissa Taitano,Southern Oregon (W)
2022,130,Round of 16,De'anna Prince,Wayland Baptist (W),VSU,10-0 1:25,Jo-Ellen Hutto,St. Andrews (W)
2022,130,Consi of 16 #1,Olivia Mottley,Life (W),VFA,0:28 4-0,Tabitha Wood,Hastings (W)
2022,130,Round of 16,Julia Vidallon,Life (W),VPO1,10-3,Kaelyn Siason,Providence (W)
2022,123,Consi of 16 #1,Marissa Burt,Jamestown (W),VSU,10-0 0:43,Yalita Arroyo,Friends University (W)
2022,123,Consi of 16 #1,Alesandra Burgos,Brewton Parker (W),VFA,2:14 7-0,Abbi Link,Hastings (W)
2022,130,Round of 16,Leidaly Rivera,Brewton Parker (W),VSU,11-0 1:27,Jocelyn Murphy,Missouri Valley (W)
2022,123,Consi of 16 #1,Geneva Winston,Brewton Parker (W),VSU1,13-2 4:25,Katy Figueroa,York (W)
2022,130,Consi of 16 #1,Gwendolyn Grimes,William Penn (W),VFA,0:54 4-1,Jaden South,Corban (W)
2022,123,Round of 16,Alana Vivas,Menlo,VSU1,12-1 5:06,Ashley Whetzal,Lyon
2022,130,Round of 16,Andrea Schlabach,Grand View (W),VFA,2:06 8-0,Jennifer Castaneda,Waldorf (W)
2022,130,Round of 16,Nanea Estrella,Menlo,VFA,0:44 4-0,Corinne Robertson,Ottawa (W)
2022,123,Round of 16,Macy Higa,Eastern Oregon (W),VFA,3:53 8-0,Laila Sa,Life (W)
2022,123,Consi of 16 #1,Allison Hynes,Central Methodist (W),VFA,1:02 2-0,Kimberly Evangelista,Central Christian (W)
2022,123,Consi of 16 #1,Mami Selemani,William Penn (W),VSU,10-0 2:30,Zoi Smith,Iowa Wesleyan University (W)
2022,123,Round of 16,Nichole Moore,Baker (W),VSU1,15-3 5:48,Emma Jones,Indiana Tech (W)
2022,123,Consi of 16 #1,Dylan Hernandez,Cumberlands (W),VIN,0:00 0-0,Sophia Smith,Oklahoma City (W)
2022,123,Round of 16,Devin Patton,Texas Wesleyan (W),VPO1,15-10,Jasmine Hernandez,Lyon
2022,123,Consi of 16 #1,Allison Doppenberg,York (W),VFA,1:12 8-1,Lauren LopezÂ,University of St. Mary's (W)
2022,123,Round of 16,Leilah Castro,Campbellsville (W),VFA,0:34 2-0,Brianna Munoz,Midland (W)
2022,123,Round of 16,Carolina Moreno,Southern Oregon (W),VSU,10-0 1:51,Lizzete Young,Menlo
2022,116,Consi of 16 #1,Prethy Enriquez,Midland (W),VPO,4-0,Carly Courcier,Oklahoma City (W)
2022,123,Consi of 16 #1,Josie Bartishofski,Jamestown (W),VFA,4:15 8-0,Tonya Flournory,St. Andrews (W)
2022,116,Consi of 16 #1,Aphrodite Ayala,Simpson University,VPO1,5-2,Anjelynn Baron,Eastern Oregon (W)
2022,116,Round of 16,Arianna Marrufo,Jamestown (W),VPO1,8-2,Ashley Tobe,Grand View (W)
2022,116,Consi of 16 #1,Gigi Loza,Central Methodist (W),VPO1,4-3,Kali Christie,University of St. Mary's (W)
2022,123,Round of 16,Adrienna Turner,Grand View (W),VSU1,12-2 3:51,Rebekah Cordovas,Wayland Baptist (W)
2022,116,Round of 16,Carol Johnson,Southern Oregon (W),VPO1,5-1,Katherine Heath,Baker (W)
2022,116,Consi of 16 #1,Emily Ferguson,York (W),VFA,1:23 2-8,Korigan Wilkey,Indiana Tech (W)
2022,109,Consi of 16 #1,Jessica Correrdor,Missouri Baptist (W),VFO,0-0,Jessienna Burkett-Erice,Lyon
2022,109,Round of 16,Kory Phillips,Life (W),VPO1,9-5,Macie Stewart,Southern Oregon (W)
2022,123,Round of 16,Karoline Ortiz,Missouri Baptist (W),VSU,11-0 1:56,Jackie Ghent,Campbellsville (W)
2022,116,Consi of 16 #1,Kendall Martin,Corban (W),VSU1,14-4 3:45,Emma De Brum,Lyon
2022,116,Round of 16,Ashley Gooman,Providence (W),VSU,11-0 4:12,Markayla Lottie,Avila University (W)
2022,109,Round of 16,Barbara Greenberg,Menlo,VPO1,10-7,Chloe Krebsbach,Grand View (W)
2022,116,Round of 16,McKayla Campbell,Campbellsville (W),VSU,10-0 1:15,Catherine Steinkamp,William Penn (W)
2022,116,Consi of 16 #1,Jonesha Kennedy,Wayland Baptist (W),VFA,1:05 6-0,Andrea Contreras,Central Christian (W)
2022,116,Consi of 16 #1,Irma Retano,Eastern Oregon (W),VSU,10-0 1:01,Alyssa Sanchez,Central Christian (W)
2022,116,Round of 16,Tara Othman,Southern Oregon (W),VSU,10-0 2:39,Tess Barnett,Corban (W)
2022,116,Round of 16,Salyna Shotwell,Life (W),VFA,0:40 4-0,Destiny Dominguez,Waldorf (W)
2022,116,Round of 16,Camille Fournier,Texas Wesleyan (W),VFA,1:00 8-0,Aaliyah Bueno,Baker (W)
2022,109,Consi of 16 #1,Jaine Stephens,Cumberlands (W),VSU,10-0 1:48,Riley Horvath,Indiana Tech (W)
2022,109,Consi of 16 #1,Lillianna Campbell,Missouri Valley (W),VFA,0:35 4-0,Jaselynn Dunn,Friends University (W)
2022,101,Consi of 16 #1,Brooke Burrows,Corban (W),VPO1,18-12,Kylie Hernandez,Baker (W)
2022,109,Consi of 16 #1,Mia Arceneaux,Wayland Baptist (W),VFA,1:14 6-0,Nadia Alejandres,Oklahoma City (W)
2022,116,Round of 16,Alleida Martinez,Menlo,VSU1,12-2 1:10,Hailey Holland,Lyon
2022,109,Round of 16,Mia Palumbo,Iowa Wesleyan University (W),VFA,1:59 9-0,Tiana Savino,Hastings (W)
2022,109,Round of 16,Jasmine Godinez,Texas Wesleyan (W),VSU,10-0 3:32,Stephanie Blankenship,Eastern Oregon (W)
2022,109,Round of 16,Alexis Medina,Cumberlands (W),VPO1,10-8,Tehani Soares,Indiana Tech (W)
2022,109,Consi of 16 #1,Claire Payne,York (W),VFA,1:21 4-0,Zoey Mzeru,Avila University (W)
2022,109,Round of 16,Peyton Prussin,Life (W),VFA,0:25 2-0,Laura Lincoln,Lyon
2022,101,Round of 16,Elizabeth Dosado,Cumberlands (W),VPO1,5-4,Angelique Cervantes,Life Pacific (W)
2022,109,Round of 16,Asia,Oviance,Ray,(Wayland,Baptist,W)) VSU 12-0 0:37 Angelique Martinez (Ottawa (W)
2022,101,Round of 16,Ivy Navarro,Providence (W),VFA,0:13 2-0,Kylie Marlin,York (W)
2022,101,Round of 16,Madison Brown,Texas Wesleyan (W),VPO1,10-6,Sydney Kutzke,Indiana Tech (W)
2022,109,Round of 16,Alyssa Valdivia,Brewton Parker (W),VPO1,10-2,Kelsey Bilz,Campbellsville (W)
2022,101,Consi of 16 #1,Gabriela Galvez Garcia,Brewton Parker (W),VSU,10-0 2:17,Alyssa Cordova,University of St. Mary's (W)
2022,101,Round of 16,Emma Cochran,Grand View (W),VPO1,8-6,Mia Diaz,Campbellsville (W)
2022,101,Round of 16,Esther Walker,Midland (W),VFA,3:40 6-0,Tianna Fernandez,Menlo
2022,101,Consi of 16 #1,Emma Baertlein,Southern Oregon (W),VSU,10-0 2:26,Bemnet Tesfa,Hastings (W)
2022,101,Consi of 16 #1,Ana Bradshaw,Missouri Baptist (W),VFA,0:40 4-0,Maddison Soman,Ottawa (W)
2022,155,Consi of 32 #2,Ilaisaane Latu,Hastings (W),VFA,0:24 4-0,Brittani Burgess,Ottawa (W)
2022,155,Consi of 32 #2,Gabrielle Tata-Rodrigues,Corban (W),VFA,1:34 6-0,Priscilla Luevano,Lyon
2022,101,Round of 16,Alaina Sunlin,Iowa Wesleyan University (W),VFA,3:32 14-4,Ira Navarro,Providence (W)
2022,101,Round of 16,Nina Pham,Wayland Baptist (W),VSU,10-0 0:27,Hannah Michael,Grand View (W)
2022,130,Consi of 32 #2,Joanna Vanderwood,Iowa Wesleyan University (W),VPO1,6-2,Corrine McClure,Central Methodist (W)
2022,143,Consi of 32 #2,Susana Mondragon,Avila University (W),VFA,0:23 4-0,Audrey Driskell,Lincoln
2022,123,Consi of 32 #2,Marissa Burt,Jamestown (W),VFA,4:10 8-5,Michaela Childs,Oklahoma City (W)
2022,101,Round of 16,Katalina Bartelt,Life (W),VSU,10-0 0:18,Nayeli Flores Roque,Eastern Oregon (W)
2022,143,Consi of 32 #2,Brianne Whited,Central Methodist (W),VFA,1:20 6-1,Elizabeth Ramirez,University of St. Mary's (W)
2022,123,Consi of 32 #2,Allison Doppenberg,York (W),VFA,0:32 6-0,Dakota Darby,Ottawa (W)
2022,130,Consi of 32 #2,Araya Boday,University of St. Mary's (W),VSU,10-0 0:31,Bailey Hoyt,Friends University (W)
2022,155,Consi of 32 #2,Emma Schrieber,Missouri Baptist (W),VFA,0:52 6-0,Haylee McDonald,Central Christian (W)
2022,191,Round of 32,Ryann Rumsey,Oklahoma City (W),VFA,3:25 11-2,Grace Montierth,Hastings (W)
2022,130,Consi of 32 #2,Jori Richardson,Brewton Parker (W),VFA,2:01 8-0,Hayden Oaks,Ottawa (W)
2022,123,Consi of 32 #2,Josie Bartishofski,Jamestown (W),VSU,10-0 1:00,McKenna Deckelman,Central Methodist (W)
2022,123,Consi of 32 #2,Zoi Smith,Iowa Wesleyan University (W),VSU1,12-2 2:40,Zoey Smith,Cumberlands (W)
2022,123,Consi of 32 #2,Geneva Winston,Brewton Parker (W),VFA,1:18 8-2,Sasha Bel,Simpson University
2022,123,Consi of 32 #2,Alesandra Burgos,Brewton Parker (W),VFA,2:24 2-0,Alisha Van Scoy,University of St. Mary's (W)
2022,191,Round of 32,Gabrielle Hamilton,Life (W),VFA,2:27 8-0,Alexis Tupuola,Providence (W)
2022,191,Round of 32,Kelly LaCost,Jamestown (W),VFA,1:52 6-0,De'Zirae White,Missouri Valley (W)
2022,170,Round of 32,Aalyah Villarreal,Texas Wesleyan (W),VFA,1:19 6-0,Jordan Roberts,Missouri Baptist (W)
2022,170,Round of 32,Danielle Saldivar,Missouri Valley (W),VFA,0:38 6-0,Abby Beeck,Hastings (W)
2022,191,Round of 32,Tavia Heildelberg-Tilliston,Menlo,VSU,10-0 2:45,Alyandina Makanalani Bushe,Missouri Valley (W)
2022,191,Round of 32,Elisa Holley,St. Andrews (W),VFA,1:58 6-0,Samantha Ruano,William Penn (W)
2022,191,Round of 32,Lessly Sandoval,University of St. Mary's (W),VFA,0:46 6-0,Grace Brown,Grand View (W)
2022,191,Round of 32,Liliana Vergara,Campbellsville (W),VFA,1:43 10-0,Grace Todhunter,Jamestown (W)
2022,155,Round of 32,Salima Omari,William Penn (W),VSU,11-0 0:58,Mandy Camacho,Jamestown (W)
2022,170,Round of 32,Abby McIntyre,Grand View (W),VSU1,12-2 3:31,Grace Doering,Indiana Tech (W)
2022,155,Round of 32,Brooke-Lynn Rush,Missouri Valley (W),VFA,5:42 8-8,Alexys Zepeda,Corban (W)
2022,155,Round of 32,Mahealani Ramirez,Missouri Valley (W),VSU,11-0 3:17,Shianne Whited,Central Methodist (W)
2022,155,Round of 32,Tenley Swope,Eastern Oregon (W),VFA,2:36 3-0,Irene Sanchez Figuera,Oklahoma City (W)
2022,191,Round of 32,Elisa Robinson,Baker (W),VFA,0:16 4-0,Jazlind Warren,Hastings (W)
2022,170,Round of 32,Angelina Adams,Oklahoma City (W),VSU,10-0 3:45,Jolette Miner-Ho,Providence (W)
2022,170,Round of 32,Jordan Nelson,Life (W),VFA,1:18 4-0,Raziyah Thomas,Avila University (W)
2022,155,Round of 32,Alia Abushi,Menlo,VSU,10-0 1:12,Jennifer Jimenez,Waldorf (W)
2022,155,Round of 32,Kenya-Lee Sloan,Campbellsville (W),VFA,2:18 10-0,Gabrielle Tata-Rodrigues,Corban (W)
2022,155,Round of 32,Tiyanha Askew,Missouri Baptist (W),VFA,0:28 4-0,Marissa Salazar,Friends University (W)
2022,155,Round of 32,Sadie Antoque,Providence (W),VFA,3:54 8-1,Autumn Terhune,Indiana Tech (W)
2022,143,Round of 32,Alexis Gomez,Grand View (W),VSU,12-0 2:36,Brelane Huber,Campbellsville (W)
2022,155,Round of 32,Berenice Espino,Waldorf (W),VFA,4:19 10-0,Kimberly Pollak,Hastings (W)
2022,155,Round of 32,India Page,Brewton Parker (W),VSU,12-0 0:32,Haylee McDonald,Central Christian (W)
2022,155,Round of 32,Kaylynn Albrecht,Baker (W),VFA,1:43 12-0,tyeisha takamori,Midland (W)
2022,155,Round of 32,Kendra Thompson,Campbellsville (W),VFA,0:42 4-1,Vanessa Bautista,University of St. Mary's (W)
2022,143,Round of 32,Ramona Jimenez,Southern Oregon (W),VPO1,5-3,Lianna Souza,Wayland Baptist (W)
2022,155,Round of 32,Destinee Rivera,Life (W),VSU,11-0 1:54,Gabriella Escamilla,Oklahoma City (W)
2022,143,Round of 32,Destiny Lyng,Oklahoma City (W),VSU,10-0 1:14,Sidalie Jaramillo,University of St. Mary's (W)
2022,143,Round of 32,Marianyeli Mercado,Brewton Parker (W),VFA,3:36 9-4,Susana Mondragon,Avila University (W)
2022,155,Round of 32,Leilani Hernandez,Texas Wesleyan (W),VFA,0:36 5-4,Toyia Griffin,William Penn (W)
2022,143,Round of 32,Maryellen Lafferty,Texas Wesleyan (W),VSU1,14-4 4:08,Ku'uipo Chan,Waldorf (W)
2022,155,Round of 32,Dempsi Talkington,Eastern Oregon (W),VFA,0:52 2-4,McKenzie Cook,Lincoln
2022,143,Round of 32,Morgan Shines,Eastern Oregon (W),VSU,12-0 1:52,Kailee Godinez,Cumberlands (W)
2022,155,Round of 32,Sienna Ramirez,Southern Oregon (W),VSU,10-0 0:21,Brittani Burgess,Ottawa (W)
2022,143,Round of 32,Kaydince Turner,Hastings (W),VFA,2:22 10-0,Sydney Boyle,York (W)
2022,143,Round of 32,Ashleigh Denny,William Penn (W),VSU,10-0 0:00,Ingrid Beltran-Gonzaga,Ottawa (W)
2022,143,Round of 32,Madison Diaz,Grand View (W),VFA,0:22 2-0,Taylor Whitehurst,Cumberlands (W)
2022,143,Round of 32,Carley Anderson,Indiana Tech (W),VPO,7-0,Morgan Mackey,Providence (W)
2022,143,Round of 32,Samantha Snow,Indiana Tech (W),VFA,2:59 5-4,Ashlee Vaughan,Oklahoma City (W)
2022,136,Round of 32,Destiny Campbell,Iowa Wesleyan University (W),VFA,1:29 6-0,Alexis Lopez,Grand View (W)
2022,143,Round of 32,Kai Morrison,Avila University (W),VSU,11-0 4:08,Nayeli Maston,Eastern Oregon (W)
2022,143,Round of 32,Josette Partney,Missouri Baptist (W),VSU,10-0 1:10,Kaylee Narlock,Jamestown (W)
2022,136,Round of 32,Gianna Moreno,Missouri Valley (W),VSU1,12-1 5:49,Cameryn Hulbert,York (W)
2022,136,Round of 32,Jordan Suarez,Wayland Baptist (W),VSU,10-0 2:11,Alondra Becerra,Hastings (W)
2022,136,Round of 32,Abbie Jones,Baker (W),VFA,0:38 4-0,Nahdia Barrientos,Waldorf (W)
2022,143,Round of 32,Sadie Forman,Wayland Baptist (W),VSU,10-0 3:00,Tess Kinne,Missouri Valley (W)
2022,143,Round of 32,Emma Walker,Campbellsville (W),VFA,0:26 4-0,Elizabeth Ramirez,University of St. Mary's (W)
2022,136,Round of 32,Ellyana Kuzma,Indiana Tech (W),VSU,10-0 1:51,Lindsay Mills,Missouri Baptist (W)
2022,136,Round of 32,Diana Dzasezeva,Waldorf (W),VPO1,11-3,Alex Banag,Lyon
2022,136,Round of 32,Louisa Schwab,Menlo,VPO1,4-3,Adriana Orozco,Oklahoma City (W)
2022,130,Round of 32,Jocelyn Murphy,Missouri Valley (W),VSU1,15-2 2:23,Araya Boday,University of St. Mary's (W)
2022,136,Round of 32,Gracie Figueroa,Menlo,VSU,10-0 2:04,Samanatha Barragan,Life Pacific (W)
2022,143,Round of 32,Derriane Morrison,Ottawa (W),VFA,1:59 6-4,Andrea Montoya,Central Methodist (W)
2022,136,Round of 32,Adaugo Nwachukwu,Iowa Wesleyan University (W),VFA,0:53 6-0,Krystal Fabricante,Eastern Oregon (W)
2022,136,Round of 32,Paige Respicio,Providence (W),VFA,0:59 5-0,Autumn Barela,Central Methodist (W)
2022,136,Round of 32,Randi Robison,Campbellsville (W),VFA,0:23 2-0,Mikinlee Smith,Ottawa (W)
2022,136,Round of 32,Allyssa Pirro,Indiana Tech (W),VSU,12-0 1:28,Allyson Arrington,Cumberlands (W)
2022,136,Round of 32,Kamryn Ellis,Brewton Parker (W),VFA,2:37 6-0,Samantha Kuillan,Ottawa (W)
2022,130,Round of 32,Leidaly Rivera,Brewton Parker (W),VFA,4:20 10-3,Gabbie Parini,Providence (W)
2022,136,Round of 32,Emily Se,Southern Oregon (W),VFA,0:46 4-0,Julia Mata,Missouri Valley (W)
2022,130,Round of 32,Emily Paulino,Midland (W),VFA,2:30 6-0,Tabitha Wood,Hastings (W)
2022,136,Round of 32,Savannah Turner,Hastings (W),VFA,0:49 10-0,Rebekah Koolstra,University of St. Mary's (W)
2022,136,Round of 32,Ashlee Palimoo,Midland (W),VSU,10-0 3:14,Jessica Miller,Avila University (W)
2022,130,Round of 32,Jennifer Castaneda,Waldorf (W),VPO1,5-4,Cassidy Anderson,Central Christian (W)
2022,130,Round of 32,Lexie Basham,Texas Wesleyan (W),VSU,12-0 2:31,Olivia Mottley,Life (W)
2022,130,Round of 32,Julissa Taitano,Southern Oregon (W),VSU1,11-1 4:14,Cindy Zepeda,Menlo
2022,130,Round of 32,Katlyn Pizzo,Campbellsville (W),VFA,0:36 8-1,Gwendolyn Grimes,William Penn (W)
2022,130,Round of 32,Jo-Ellen Hutto,St. Andrews (W),VFA,5:05 8-4,Rebekah Garcia,Lyon
2022,130,Round of 32,Julia Vidallon,Life (W),VPO1,9-2,Jori Richardson,Brewton Parker (W)
2022,130,Round of 32,Andrea Schlabach,Grand View (W),VSU,12-0 1:44,Desinee Lopez,Southern Oregon (W)
2022,130,Round of 32,Allie Baudhuin,Jamestown (W),VSU,10-0 0:59,Jaden South,Corban (W)
2022,130,Round of 32,De'anna Prince,Wayland Baptist (W),VSU,10-0 1:42,Olivia Branson,Baker (W)
2022,130,Round of 32,Kaelyn Siason,Providence (W),VFA,4:13 10-0,Lydia Nelson,William Penn (W)
2022,123,Round of 32,Leilah Castro,Campbellsville (W),VFA,1:42 4-0,Allison Hynes,Central Methodist (W)
2022,130,Round of 32,Kaylee Moore,Eastern Oregon (W),VSU1,13-2 4:21,Corrine McClure,Central Methodist (W)
2022,123,Round of 32,Brianna Munoz,Midland (W),VSU1,13-2 2:42,Kimberly Evangelista,Central Christian (W)
2022,123,Round of 32,Laila Sa,Life (W),VPO1,10-9,Tonya Flournory,St. Andrews (W)
2022,130,Round of 32,Nanea Estrella,Menlo,VSU,10-0 1:32,Avery Thomason,Midland (W)
2022,130,Round of 32,Corinne Robertson,Ottawa (W),VFA,2:51 6-4,Willow Barnes,Missouri Valley (W)
2022,123,Round of 32,Devin Patton,Texas Wesleyan (W),VSU,10-0 0:30,Katy Figueroa,York (W)
2022,123,Round of 32,Alana Vivas,Menlo,VFA,2:12 10-0,Alisha Van Scoy,University of St. Mary's (W)
2022,123,Round of 32,Rebekah Cordovas,Wayland Baptist (W),VSU1,12-1 1:08,Dylan Hernandez,Cumberlands (W)
2022,123,Round of 32,Ashley Whetzal,Lyon,VFA,0:22 4-0,Abbi Link,Hastings (W)
2022,123,Round of 32,Macy Higa,Eastern Oregon (W),VFA,2:58 9-0,Josie Bartishofski,Jamestown (W)
2022,123,Round of 32,Jasmine Hernandez,Lyon,VSU,10-0 2:30,Geneva Winston,Brewton Parker (W)
2022,123,Round of 32,Carolina Moreno,Southern Oregon (W),VSU,10-0 0:48,Allison Doppenberg,York (W)
2022,123,Round of 32,Karoline Ortiz,Missouri Baptist (W),VPO1,11-7,Mami Selemani,William Penn (W)
2022,116,Round of 32,Salyna Shotwell,Life (W),VFA,1:24 8-0,Aphrodite Ayala,Simpson University
2022,123,Round of 32,Lizzete Young,Menlo,VSU,10-0 1:21,Lauren LopezÂ,University of St. Mary's (W)
2022,123,Round of 32,Adrienna Turner,Grand View (W),VFA,0:51 4-0,Sophia Smith,Oklahoma City (W)
2022,116,Round of 32,Arianna Marrufo,Jamestown (W),VSU1,12-2 4:02,Korigan Wilkey,Indiana Tech (W)
2022,123,Round of 32,Emma Jones,Indiana Tech (W),VFA,0:28 4-0,Yalita Arroyo,Friends University (W)
2022,116,Round of 32,Ashley Tobe,Grand View (W),VSU1,16-2 5:02,Emily Ferguson,York (W)
2022,123,Round of 32,Jackie Ghent,Campbellsville (W),VSU1,12-2 4:19,Zoi Smith,Iowa Wesleyan University (W)
2022,116,Round of 32,Destiny Dominguez,Waldorf (W),VSU,10-0 3:24,Anjelynn Baron,Eastern Oregon (W)
2022,116,Round of 32,Markayla Lottie,Avila University (W),VFA,1:23 3-0,Emma De Brum,Lyon
2022,116,Round of 32,Carol Johnson,Southern Oregon (W),VSU,10-0 0:50,Carly Courcier,Oklahoma City (W)
2022,116,Round of 32,Aaliyah Bueno,Baker (W),VSU1,16-6 1:50,Andrea Contreras,Central Christian (W)
2022,123,Round of 32,Nichole Moore,Baker (W),VSU,10-0 2:09,Marissa Burt,Jamestown (W)
2022,116,Round of 32,Camille Fournier,Texas Wesleyan (W),VSU1,15-5 3:17,Jonesha Kennedy,Wayland Baptist (W)
2022,109,Round of 32,Kory Phillips,Life (W),VPO1,12-7,Jaine Stephens,Cumberlands (W)
2022,116,Round of 32,Tess Barnett,Corban (W),VSU,10-0 2:24,Kali Christie,University of St. Mary's (W)
2022,116,Round of 32,Ashley Gooman,Providence (W),VSU1,12-2 3:59,Kendall Martin,Corban (W)
2022,116,Round of 32,McKayla Campbell,Campbellsville (W),VFA,1:53 8-0,Briana Funakoshi,Life (W)
2022,116,Round of 32,Tara Othman,Southern Oregon (W),VSU,10-0 1:14,Gigi Loza,Central Methodist (W)
2022,109,Round of 32,Asia,Oviance,Ray,(Wayland,Baptist,W)) VPO1 3-3 Samantha Weeks (Jamestown (W)
2022,116,Round of 32,Hailey Holland,Lyon,VPO1,5-3,Irma Retano,Eastern Oregon (W)
2022,116,Round of 32,Alleida Martinez,Menlo,VSU,10-0 0:41,Alyssa Sanchez,Central Christian (W)
2022,109,Round of 32,Tiana Savino,Hastings (W),VFA,1:15 11-0,Jaselynn Dunn,Friends University (W)
2022,109,Round of 32,Alexis Medina,Cumberlands (W),VPO1,8-5,Jessica Correrdor,Missouri Baptist (W)
2022,116,Round of 32,Katherine Heath,Baker (W),VFA,1:30 4-0,Prethy Enriquez,Midland (W)
2022,109,Round of 32,Alyssa Valdivia,Brewton Parker (W),VFA,5:01 12-4,Mia Arceneaux,Wayland Baptist (W)
2022,101,Round of 32,Esther Walker,Midland (W),VSU,10-0 1:53,Kassidy Ramirez,Lyon
2022,109,Round of 32,Chloe Krebsbach,Grand View (W),VFA,0:57 6-0,Zoey Mzeru,Avila University (W)
2022,109,Round of 32,Jasmine Godinez,Texas Wesleyan (W),VSU,10-0 2:55,Melanie Salazar,Simpson University
2022,109,Round of 32,Mia Palumbo,Iowa Wesleyan University (W),VSU,11-0 1:17,Lillianna Campbell,Missouri Valley (W)
2022,109,Round of 32,Tehani Soares,Indiana Tech (W),VFO,Jessienna,Burkett-Erice,Lyon
2022,101,Round of 32,Mia Diaz,Campbellsville (W),VPO,7-0,Malarie Dominguez,Wayland Baptist (W)
2022,109,Round of 32,Barbara Greenberg,Menlo,VFA,1:24 6-0,Claire Payne,York (W)
2022,109,Round of 32,Macie Stewart,Southern Oregon (W),VSU,10-0 1:34,Riley Horvath,Indiana Tech (W)
2022,109,Round of 32,Kelsey Bilz,Campbellsville (W),VFA,0:48 4-0,Nadia Alejandres,Oklahoma City (W)
2022,101,Round of 32,Nayeli Flores Roque,Eastern Oregon (W),VPO1,10-4,Brooke Burrows,Corban (W)
2022,109,Round of 32,Peyton Prussin,Life (W),VSU,10-0 2:21,Lana Hunt,Providence (W)
2022,101,Round of 32,Ivy Navarro,Providence (W),VSU,10-0 0:52,Gabriela Galvez Garcia,Brewton Parker (W)
2022,101,Round of 32,Katalina Bartelt,Life (W),VSU,10-0 1:45,Kylie Hernandez,Baker (W)
2022,101,Round of 32,Kylie Marlin,York (W),VSU1,13-2 1:33,Alyssa Cordova,University of St. Mary's (W)
2022,101,Round of 32,Angelique Cervantes,Life Pacific (W),VFA,1:27 2-6,Emma Baertlein,Southern Oregon (W)
2022,101,Round of 32,Hannah Michael,Grand View (W),VSU,10-0 1:43,Maddison Soman,Ottawa (W)
2022,101,Round of 32,Elizabeth Dosado,Cumberlands (W),VSU,10-0 1:57,Bemnet Tesfa,Hastings (W)
2022,155,Round of 64,Kenya-Lee Sloan,Campbellsville (W),VSU1,11-1 4:00,Ilaisaane Latu,Hastings (W)
2022,101,Round of 32,Nina Pham,Wayland Baptist (W),VSU,10-0 0:27,Ana Bradshaw,Missouri Baptist (W)
2022,101,Round of 32,Alaina Sunlin,Iowa Wesleyan University (W),VFA,1:19 2-0,Abby Jastal,Central Methodist (W)
2022,155,Round of 64,Destinee Rivera,Life (W),VSU,11-0 2:30,Emma Schrieber,Missouri Baptist (W)
2022,143,Round of 64,Andrea Montoya,Central Methodist (W),VSU1,14-4 4:05,Audrey Driskell,Lincoln
2022,130,Round of 64,Jocelyn Murphy,Missouri Valley (W),VFA,2:01 4-2,Joanna Vanderwood,Iowa Wesleyan University (W)
