weight_class,round,winner,winner_school,win_method,score,loser,loser_school
207,Champ. Round 2,Riley Dempewolf,Indiana Tech,Dec,2-1,MaQuoia Bernabe,Cumberlands
207,Champ. Round 2,Savannah Isaac,Life,Fall,0:52,Mariyah Brumley,William Woods
207,Champ. Round 2,Alysse Phillips,Lourdes,Fall,0:52,Hailey Romero,Doane
207,Champ. Round 2,Bella Porcelli,Grand View,Fall,1:47,Grace Todhunter,Jamestown
207,Champ. Round 2,Kathryn Hingano,Southern Oregon,TF,10-0,Abigail Fonseca,Texas Wesleyan
103,Cons. Round 2,Malarie Dominguez,Wayland Baptist,Dec,5-1,Nayeli Flores Roque,Eastern Oregon
103,Cons. Round 2,Eyvori Jacquez,Saint Mary,TF,10-0,Lillian Zapata,William Penn
103,Cons. Round 2,Alexis Hatfield,Avila,Fall,2:24,Morgan Repasky,Montreat
110,Cons. Round 2,Aynsley Fink,Ottawa,Fall,3:52,Rodiah Adeduntan,Lindsey Wilson
110,Cons. Round 2,Nizhoni Tallman-Olney,Evergreen State,Fall,2:56,Allison Hancher,Indiana Tech
110,Cons. Round 2,Nia Avelino,Eastern Oregon,Dec,8-4,Iby Garcia,Oklahoma City
110,Cons. Round 2,Jenna Gerhardt,Dickinson State,TF,10-0,Jaden Breeden,Doane
110,Cons. Round 2,Hailey Holland,Missouri Valley,Fall,2:50,Sarah Pineda,Missouri Valley
117,Cons. Round 2,Icart Galumette,Campbellsville,Dec,16-8,Marissa Kurtz,Southern Oregon
117,Cons. Round 2,Larhae Whaley,Dickinson State,TF,10-0,Mora Peterson,Doane
117,Cons. Round 2,Victoria Nunez,Central Methodist,Fall,4:31,Kendall Martin,Ottawa
124,Cons. Round 2,Presley Anderson,Cumberlands,Dec,12-10,Isla Baeza,Missouri Valley
124,Cons. Round 2,Alyssa Randles,Providence,Dec,10-9,Kaylee Annis,Southern Oregon
124,Cons. Round 2,Ariana Martinez,Life,TF,10-0,Anna Krejsa,Life
124,Cons. Round 2,Peyton Hand,Ottawa,Fall,1:38,Jill High,York
124,Cons. Round 2,Catharine Campbell,Grand View,Fall,1:38,Kadence Beck,Eastern Oregon
124,Cons. Round 2,Catherine Steinkamp,William Penn,TF,10-0,Sydney Bridenstine,Lindsey Wilson
124,Cons. Round 2,Malia Welch,Southern Oregon,TF,10-0,Kylie Robledo,Baker
124,Cons. Round 2,Tess Barnett,Wayland Baptist,Dec,9-0,Chloe Herrick,Missouri Baptist
131,Cons. Round 2,Olivia Messerly,Campbellsville,Dec,11-2,Annabelle Suto,Cumberlands
131,Cons. Round 2,Paige Respicio,Providence,TF,11-0,Nicole Redmond,Avila
131,Cons. Round 2,Andrea Hernandez,Indiana Tech,Fall,1:10,Hannah Seitzinger,Indiana Tech
131,Cons. Round 2,Larissa Kaz,Hastings,Fall,3:38,Keira Nartatez,Midland
131,Cons. Round 2,Destiny Campbell,Oklahoma City,Fall,2:49,Bryce White,Oklahoma City
131,Cons. Round 2,Cameron Ortiz,Campbellsville,Fall,3:53,Emma Truex,Ottawa
138,Cons. Round 2,Lilly Gough,Central Methodist,Dec,6-6,Gianna Moreno,Friends
138,Cons. Round 2,Addison Messerly,Campbellsville,Fall,4:56,Tabitha Wood,Hastings
138,Cons. Round 2,Kailey Rees,Providence,TF,12-0,Jaclyn Riedinger,Avila
138,Cons. Round 2,Livia Swift,Ottawa,Fall,2:26,Jade Martin,Baker
145,Cons. Round 2,Bridgette Sotomayor,Doane,Dec,11-5,Holland Wieber,Southern Oregon
145,Cons. Round 2,Anastasia Hardin,Missouri Baptist,Fall,4:38,Makena Schramm,Midland
145,Cons. Round 2,Berlyn Davis,Westcliff,Fall,1:38,Aevri Ciha,Doane
145,Cons. Round 2,Alivia Ming,Cumberlands,Fall,4:03,Naida Abdijanovic,William Penn
145,Cons. Round 2,Aniseta Acosta,Missouri Valley,TF,11-0,Lisa Hoeflich,Hastings
145,Cons. Round 2,Esther Han,Providence,Fall,4:30,Lexi Ritchie,Lindsey Wilson
145,Cons. Round 2,Ann Marie Meiman,Jamestown,Fall,0:53,Makayla Munoz,Oklahoma City
160,Cons. Round 2,Kiley Hubby,Dickinson State,Dec,9-0,Isabella Deeds,Hastings
160,Cons. Round 2,Alexa Wolf,William Penn,Dec,6-5,Mohagany Casel,Wayland Baptist
160,Cons. Round 2,Taydem Khamjoi,Texas Wesleyan,Fall,1:31,Amelia Frounfelter,Saint Mary
160,Cons. Round 2,Hailey Sutton,Providence,Fall,4:33,Lamia Benn,Doane
180,Cons. Round 2,America Lopez,William Penn,Fall,2:16,Emma Schreiber,Missouri Baptist
180,Cons. Round 2,Lillian Gradillas-Flores,Southern Oregon,TF,13-2,Ella Murphey,Oklahoma City
180,Cons. Round 2,Kaylee Davis,Ottawa,Fall,1:55,Nevaeh Wardlow,Baker
180,Cons. Round 2,Catherine McNulty,Indiana Tech,FF,ff,ff,Friends
180,Cons. Round 2,Grace Doering,Indiana Tech,Fall,3:21,Kyree Rubio,Westcliff
207,Cons. Round 2,Brianna Staebler,Campbellsville,Fall,1:49,Abigail Fonseca,Texas Wesleyan
207,Cons. Round 2,Kena Leonard,Ottawa,Dec,4-2,Taylor Rickley,Hastings
207,Cons. Round 2,Naomi Duenas,Cumberlands,TF,14-2,Skyler Bruno,Waldorf
103,Quarterfinal,Erin Hikiji,Providence,TF,11-0,Angelina Casteneda,Cumberlands
103,Quarterfinal,Judy Sandoval,Grand View,Fall,5:41,Karina Vang,Doane
103,Quarterfinal,Alexis Miller,Oklahoma City,Fall,1:13,Dutchess King,Cumberlands
103,Quarterfinal,Makayla Young,Indiana Tech,Fall,1:53,Katherine Hernandez,Life
110,Quarterfinal,Anaya Falcon,Life,Dec,10-2,Alexsys Jacquez,Saint Mary
110,Quarterfinal,Emma Baertlein,Southern Oregon,Dec,5-2,Lita Cruz,Grand View
110,Quarterfinal,Paige Morales,Providence,Dec,6-4,Tehani Soares,Indiana Tech
110,Quarterfinal,Stefana Jelacic,Lourdes,Dec,7-0,Tristan Nitta,Grand View
117,Quarterfinal,Christianah Ogunsanya,William Penn,TF,10-0,Shammilka Miranda,Cumberlands
117,Quarterfinal,Jasmine Howard,Southern Oregon,Dec,7-0,Cailin Campbell,Grand View
117,Quarterfinal,Salyna Shotwell,Life,Fall,1:25,Mayangelie Colon Davila,Grand View
117,Quarterfinal,Camille Fournier,Texas Wesleyan,Dec,9-4,Katherine Heath,Baker
124,Quarterfinal,Cristelle Rodriguez,Doane,TF,10-0,Kamilah Brooks,Lindsey Wilson
124,Quarterfinal,Jasmina Immaeva,Missouri Valley,Dec,5-3,Rose Kaplan,Indiana Tech
124,Quarterfinal,Joanna Vanderwood,William Penn,TF,11-1,Maya Davis,Grand View
124,Quarterfinal,Katie Gomez,Cumberlands,TF,10-0,Ellabelle Taylor,Evergreen State
131,Quarterfinal,Carolina Moreno,Southern Oregon,TF,10-0,Devin Patton,William Penn
131,Quarterfinal,Jumoke Adekoye,Dickinson State,Fall,3:55,Sarah Savidge,Life
131,Quarterfinal,Xochitl Mota-Pettis,Missouri Valley,TF,12-1,Olivia Mottley,Life
131,Quarterfinal,Mercy Adekuoroye,Wayland Baptist,TF,10-0,Ashley Whetzal,Missouri Valley
138,Quarterfinal,Zaynah McBryde,Life,TF,10-0,Gabriella Perez,Campbellsville
